NCGC00254346-01,CC(C)=CCC\C(C)=C/CO
NCGC00159511-04,CN(CC1=CC=C(C=C1)C(C)(C)C)CC2=CC=CC3=C2C=CC=C3
NCGC00167455-02,C[C@@H](CSC(=O)C1=CC=CC=C1)C(=O)N2C[C@H](C[C@H]2C(O)=O)SC3=CC=CC=C3
NCGC00256811-01,CCCCCCOC(=O)CC
NCGC00166232-02,CC(=O)OC1=CC=C(C)C=C1
NCGC00164637-02,Cl.CN1C(=O)C=C(NCCN(CCO)CCCC2=CC=C(C=C2)[N+]([O-])=O)N(C)C1=O
NCGC00258936-01,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C4=C(C(O)=C3C)C(O)=C(NC(=O)C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N5CCN(C)CC5)=C4O
NCGC00257377-01,CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl
NCGC00257334-01,OC(=O)CCOC(=O)C=C
NCGC00258842-01,ClC(Cl)(Cl)C1=CC=CC=C1
NCGC00254923-01,CCNC1=NC(NC(C)C)=NC(Cl)=N1
NCGC00258567-01,OCCNC1=C(OCCO)C=C(C=C1)[N+]([O-])=O
NCGC00090698-04,N=C(NC1=CC=CC=C1)NC2=CC=CC=C2
NCGC00257738-01,CC(C)COC(=O)C=C
NCGC00166056-02,CCOC(=O)C1=CN=CC=C1
NCGC00015252-12,CN1CCC(CC1)=C2C3=C(C=CC=C3)C=CC4=C2C=CC=C4
NCGC00255436-01,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC=C4C[C@@H](O)CC[C@]34C
NCGC00015906-04,Cl.COC1=CC=CC=C1N2CCNCC2
NCGC00259102-01,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC
NCGC00183011-01,CN1[C@H]2CC[C@@H]1C[C@@H](C2)NC(=O)N3C(=O)NC4=CC=CC=C34
NCGC00254936-01,S=C1NCCN1
NCGC00258336-01,CC(CO)OC1=CC=CC=C1
NCGC00257707-01,ClC(Br)Br
NCGC00254037-01,OC1=CC=C(O)C=C1
NCGC00256865-01,CN(C)C(=O)NC1=CC=C(C)C(NC(=O)N(C)C)=C1
NCGC00259964-01,OC1=C(C=CC=C1)C2=CC=CC=C2
NCGC00255589-01,[Na+].CCCCC1=CC2=C(C=CC=C2C=C1)S([O-])(=O)=O
NCGC00254452-01,NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1
NCGC00259665-01,O1C2=CC=CC=C2C3=C1C=CC=C3
NCGC00260015-01,ClCCCl
NCGC00257073-01,CC(C)OC(C)=O
NCGC00258270-01,NC1=CC=C(NC(=O)C2=CC=C(N)C=C2)C=C1
NCGC00183863-01,COC1=CC2=C(C=C1)C(C(=O)C3=CC=C(Cl)C=C3)=C(C)N2CC(O)=O
NCGC00258853-01,OC(=O)CCCCCCCCCCCC(O)=O
NCGC00254671-01,C[As](C)(O)=O
NCGC00164265-02,CC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=C1C(=O)NCCO
NCGC00244580-01,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(O)(=O)=O
NCGC00260021-01,CC1=CC=C(C)O1
NCGC00255082-01,[Na+].COC1=CC(OC)=NC(NC(=O)[N-]S(=O)(=O)C2=NC=CC=C2OCC(F)(F)F)=N1
NCGC00256400-01,Cl.NC1=CC=CC=C1
NCGC00164339-05,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O
NCGC00256470-01,CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
NCGC00257154-01,CCO[Si](CCC#N)(OCC)OCC
NCGC00094881-07,Cl.OCC(O)COC(=O)C1=C(NC2=C3C=CC(Cl)=CC3=NC=C2)C=CC=C1
NCGC00259625-01,C=CC#N
NCGC00253915-01,COC1=C(O)C=CC(CC=C)=C1
NCGC00258417-01,[Na+].[O-]S(=O)(=O)CCS
NCGC00259391-01,CCCCCCCCCCCCCCO
NCGC00159504-04,CC(C)C1=C(OI)C=C(C)C(=C1)C2=CC(C(C)C)=C(OI)C=C2C
NCGC00258609-01,OC[C@H](O)[C@@H](O)[C@H](O)CO
NCGC00090972-03,CC(O)C(O)=O
NCGC00254042-01,CCC(C)C1=C(O)C=CC=C1
NCGC00183016-01,[H][C@]12SCC(CN3N=NC(C)=N3)=C(N1C(=O)[C@@]2([H])NC(=O)C(=N\OC)\C4=CSC(N)=N4)C(O)=O
NCGC00254177-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]
NCGC00257213-01,CCCCCCOC(=O)C(C)=C
NCGC00257766-01,CCC(OCCCOC)OC(C)=O
NCGC00182987-01,CC(=O)SCC(CC(=O)C1=CC=C(C)C=C1)C(O)=O
NCGC00258361-01,NC1=C(C=C(Cl)C=C1)[N+]([O-])=O
NCGC00179290-03,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)OCOC(=O)C(C)(C)C
NCGC00257962-01,CC(Cl)C(Cl)Cl
NCGC00257056-01,NNC(=S)NN
NCGC00160563-02,CCOC(=O)NC(O)C(Cl)(Cl)Cl
NCGC00256167-01,CCNC(=O)C1CC(C)CCC1C(C)C
NCGC00254603-01,[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C4=C(O2)C5=C(O[C@H](C5)C(C)=C)C=C4
NCGC00260436-01,NC(CC1=CC=C(F)C=C1)C(O)=O
NCGC00183839-01,[Br-].[H][C@@]12C[C@@H]([C@H](OC(=O)CC)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])C[C@H](OC(C)=O)[C@H](C[C@]34C)N5CCCCC5)[N+]6(CC=C)CCCCC6
NCGC00259978-01,CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C
NCGC00257778-01,CCCCCCCC\C=C/CCCCCCCC(=O)OCCOC(=O)CCCCCCC\C=C/CCCCCCCC
NCGC00258779-01,CC(C)(CCl)C(Cl)=O
NCGC00259361-01,CC(O)CO
NCGC00257161-01,CCCCC(CC)COCC1CO1
NCGC00256026-01,CCCCCCC(CO)CCCC
NCGC00259920-01,NC1=CC=CC=C1[N+]([O-])=O
NCGC00253675-01,CCCC(CCC)(C(=O)OCC)C(=O)OCC
NCGC00255551-01,[Na+].[O-]C(=O)C(Cl)(Cl)Cl
NCGC00260381-01,O=C(C(=O)C1=CC=CO1)C2=CC=CO2
NCGC00255887-01,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
NCGC00259744-01,OC(=O)CN(CC(O)=O)CC(O)=O
NCGC00255758-01,O=CN1CCOCC1
NCGC00258180-01,[I-].CC[N+]1(C)CCCC1
NCGC00259071-01,NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1
NCGC00260274-01,C1=CC=C(C=C1)\C=C\C2=CC=CC=C2
NCGC00258187-01,CCC(C)Br
NCGC00254468-01,COC1=C(O)C=CC(C=O)=C1
NCGC00258856-01,CCCCCCCCCCCC#N
NCGC00024512-07,N[C@@H](COP(O)(O)=O)C(O)=O
NCGC00254892-01,CN1CSC(=S)N(C)C1
NCGC00256069-01,CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C
NCGC00258675-01,CCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N
NCGC00258246-01,CC1=CC=C(O)C(N)=C1
NCGC00013273-03,Cl.Cl.CC1=C(O)C(CN)=C(CO)C=N1
NCGC00258154-01,[Cl-].CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
NCGC00255538-01,CN\C=N\C1=CC=C(C)C=C1C
NCGC00256056-01,CC(=O)OC1=CC=C(C=C)C=C1
NCGC00256479-01,CC12CCC(CC1)C(C)(C)O2
NCGC00015611-18,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
NCGC00258374-01,COC1=CC=CC(N)=C1
NCGC00255822-01,NC1(CCCCC1)C#N
NCGC00015496-08,C[N+](C)(C)CCCCCC[N+](C)(C)C
NCGC00179372-03,Cl.CC1CC(CC(C)(C)N1C)OC(=O)C(O)C2=CC=CC=C2
NCGC00260132-01,O.O.O.[K+].[K+].[O-]C(=O)C1O[Sb]2OC(C(O[Sb]3OC1C(=O)O3)C([O-])=O)C(=O)O2
NCGC00256724-01,CC(=O)OC(C)(C)CCCC(=C)C=C
NCGC00258734-01,CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C2=CC(Br)=C(O)C(Br)=C2
NCGC00255416-01,CCCC(C)C1=C(O)C=CC=C1
NCGC00254777-01,COC(C)(C)CC(C)=O
NCGC00258689-01,CC(\C=C\C1(O)C(C)=CC(=O)CC1(C)C)=C\C(O)=O
NCGC00256089-01,[H]\C(COC(C)=O)=C(/C)CCC=C(C)C
NCGC00260541-01,[Na+].CCCCCCCCCCCC(=O)N(C)CC([O-])=O
NCGC00260086-01,[Na+].OS([O-])(=O)=O
NCGC00021876-04,N[C@@H](COC(=O)C=[N+]=[N-])C(O)=O
NCGC00160370-02,CC=CC=NNC(=O)C1=CC=NC=C1
NCGC00257382-01,CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
NCGC00018275-05,CC1=NC=C(N1CC(O)CCl)[N+]([O-])=O
NCGC00254695-01,ClC1=CC=CC(Cl)=C1C#N
NCGC00263657-01,COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C
NCGC00257029-01,CCCCCCCCC
NCGC00256251-01,CC(=C)C(=O)OCCOP(O)(=O)OCCOC(=O)C(C)=C
NCGC00257287-01,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
NCGC00274058-01,OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5CC=C
NCGC00178580-03,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
NCGC00256239-01,CC(C)CC(C)(N)C#N
NCGC00182997-01,[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])CCCCCCCC(=O)NC(C)C1=CC=CC=C1
NCGC00255632-01,[Na+].[Br-]
NCGC00160649-02,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
NCGC00256163-01,CC(C)CCOC(=O)CC(C)C
NCGC00254604-01,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1
NCGC00258539-01,OC1=CC=CC2=C1C(=O)C3=C(O)C=CC=C3C2=O
NCGC00179342-03,Cl.CC(C)NCC(O)COC1=CC=CC=C1OCC=C
NCGC00091146-08,N1C2=CC=CC=C2SC3=C1C=CC=C3
NCGC00259198-01,CO[Si](CCCNCCN)(OC)OC
NCGC00260465-01,O=C1C2=CC=CC=C2C3=CC=CC=C13
NCGC00255248-01,CC(C)(C)C(=O)CCC1=CC=C(Cl)C=C1
NCGC00260263-01,CCCCC\C(CO)=C\C1=CC=CC=C1
NCGC00016834-07,OC(=O)CCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2
NCGC00255951-01,OC1=CC=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O
NCGC00258544-01,N\C(C#N)=C(/N)C#N
NCGC00256004-01,CC1(C)CC(N)CC(C)(C)N1
NCGC00254055-01,OC(=O)CC(O)(CC(O)=O)C(O)=O
NCGC00258267-01,COC(C)OC
NCGC00258661-01,ClCC(Cl)(Cl)Cl
NCGC00256841-01,CCCCCCCCCCCSCC(O)=O
NCGC00257409-01,CC(=C)C(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
NCGC00260271-01,CC1=C(C=O)C(C)(C)CC=C1
NCGC00255602-01,OC(=O)C1=CC=C(C=C1)C#N
NCGC00258164-01,[Br-].CCCC[N+]1=CC=CC=C1
NCGC00254156-01,[Na+].OC[C@@H](O)[C@H]1OC(=O)C(O)=C1[O-]
NCGC00254298-01,CS(O)(=O)=O.CCOC1=CC=CC(=C1)[C@]2(CC[C@H](C)CC2)N3CCN(CC3)C4=CC=CC=C4
NCGC00259794-01,OCCCCO
NCGC00254541-01,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
NCGC00259189-01,CC(=C)CCl
NCGC00258824-01,Cl.CC(C)NCC(O)C1=CC(O)=C(O)C=C1
NCGC00257753-01,COC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1
NCGC00254324-01,CC1=CC=C(N)C(N)=C1
NCGC00256979-01,OC(=O)C1=CC2=C(C=CC=C2)C=C1O
NCGC00260178-01,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCN1C=C[N+](C)=C1
NCGC00256705-01,OCCCCCCCCC=C
NCGC00090955-06,C1CCC(CC1)NC2CCCCC2
NCGC00256619-01,CC1OC(C)C(C)=N1
NCGC00179310-03,[H][C@]12SCC(C[N+]3=CC=C(C=C3)C(N)=O)=C(N1C(=O)[C@H]2NC(=O)CC4=CC=CS4)C([O-])=O
NCGC00257486-01,CC1=CC[C@@H]2C[C@H]1C2(C)C
NCGC00018172-09,CC1CC2=C(C=CC=C2)N1NC(=O)C3=CC(=C(Cl)C=C3)S(N)(=O)=O
NCGC00095303-04,OC1=CC=C(Cl)C2=CC=CN=C12
NCGC00259546-01,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
NCGC00256158-01,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12
NCGC00027930-07,ClC1=CC=C(C=C1)C(=O)NCCN2CCOCC2
NCGC00025132-04,CC1(C)OC2=C(C=C(C=C2)C#N)[C@H]([C@@H]1O)N3CCCC3=O
NCGC00090905-12,CS(=O)(=O)OCCCCOS(C)(=O)=O
NCGC00259251-01,NC1=CC=C(C=C1)C(O)=O
NCGC00255618-01,FC1=CC=CC(F)=C1C(=O)NC(=O)NC2=CC(Cl)=C(OC3=NC=C(C=C3Cl)C(F)(F)F)C(Cl)=C2
NCGC00257984-01,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
NCGC00258167-01,F[P-](F)(F)(F)(F)F.CCCCCC[N+]1=CC=CC=C1
NCGC00254775-01,COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C2=CC=CC=C2
NCGC00254102-01,CN1C=C(C2=CC=CC=C2)C(=O)C(=C1)C3=CC(=CC=C3)C(F)(F)F
NCGC00016011-14,NCCC1=CC=C(O)C=C1
NCGC00258243-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00255454-01,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2
NCGC00016513-05,OS(O)(=O)=O.NC(=N)N1CCC2=C(C1)C=CC=C2.NC(=N)N3CCC4=C(C3)C=CC=C4
NCGC00260524-01,OC(=O)\C=C\C1=CNC=N1
NCGC00182994-01,[I-].C[N+]4(CC1COC(O1)(C2=CC=CC=C2)C3=CC=CC=C3)CCCCC4
NCGC00258761-01,OC1OC(=O)C(Cl)=C1C(Cl)Cl
NCGC00255405-01,CCCCOC(=O)CCC(C)=O
NCGC00259352-01,COCC(C)O
NCGC00091645-07,COC1=C(O)C=CC(C=O)=C1
NCGC00256874-01,CC(C)CCCCCCC1=CC=C(OCCOCCO)C=C1
NCGC00256043-01,COC(=O)C1=C(OC)C=CC=C1
NCGC00260205-01,Cl.CCCN1CN(C)C=C1
NCGC00259442-01,NN1C=NN=C1
NCGC00256680-01,CC(=O)OCCC1CCCCC1
NCGC00254804-01,CC1=C(F)C(F)=C(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)C(F)=C1F
NCGC00256517-01,OC(=O)CCC(O)=O.CN(C)CCOC(C)(C1=CC=CC=C1)C2=CC=CC=N2
NCGC00090686-07,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O
NCGC00257437-01,CCC(O)OCC(C)OC(O)CC
NCGC00253637-01,CC1=CC=C(C=C1)C2=CC=CC=C2C#N
NCGC00249929-01,CCCCCOC1=C(C=CC=C1)C(=C/SC)\N2C=CN=C2
NCGC00255417-01,OC1=C(C=CC=C1)C#N
NCGC00261971-01,CN1C2CCC(C)(C)C1CC(C2)OC(=O)C(O)(C3=CC=CS3)C4=CC=CS4
NCGC00260107-01,CCCCCCCCCCCCCCCC(=O)OC(C)C
NCGC00259328-01,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
NCGC00255650-01,OC(=O)CONC(=O)C1=CC=CC=C1
NCGC00258618-01,CC(C)(C)N(CCO)CCO
NCGC00256471-01,C=CC1=CC=CC=C1C=C
NCGC00016268-08,OC(=O)C1=CC=CN=C1
NCGC00160436-02,NC1=NN=NN1C2=CC=CC=C2
NCGC00258177-01,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
NCGC00184983-03,[H][C@]12N3CCC[C@@]1(CC)C[C@@](O)(N4C5=C(C=CC=C5)C(CC3)=C24)C(=O)OC
NCGC00258641-01,ClCC1=CC=CC=C1Cl
NCGC00258077-01,OC1=CC(O)=C(Cl)C=C1Cl
NCGC00259989-01,OCCOCCOCCO
NCGC00255268-01,NCCCN1CCN(CCCN)CC1
